epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.696,0.84423,3.00557,1.32301,0.38095,0.37464,0.35051,0.27588,0.72488,2.87692,1.26567,0.000366515,0.000366515,0.000366515
2,958.204,0.87605,2.10083,1.33842,0.58393,0.25177,0.25108,0.19063,0.78734,2.37006,1.38756,0.000554479,0.000554479,0.000554479
3,1565.68,0.81682,1.65337,1.26484,0.63258,0.36533,0.39551,0.3163,0.72805,1.88972,1.25323,0.000559127,0.000559127,0.000559127
4,2194.15,0.73399,1.37822,1.20146,0.91188,0.57066,0.61833,0.52972,0.57702,1.32964,1.09356,0.000286083,0.000286083,0.000286083
